base_id,split,modality,filename,tcir_vmax_proxy_kt,embed_00,embed_01,embed_02,embed_03,embed_04,embed_05,embed_06,embed_07,embed_08,embed_09,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24,embed_25,embed_26,embed_27,embed_28,embed_29,embed_30,embed_31
28,test,raw,28.jpg,38.08807306901002,0.0,1.443160057067871,0.259235143661499,0.0,0.7075597047805786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5810024738311768,0.0,0.0,0.0,0.0
34,test,raw,34(!).jpg,27.79351439978643,0.0,1.7662363052368164,0.6776633858680725,0.0,0.9930561780929565,0.0,0.0,1.051772117614746,0.0,0.0,0.0,0.0,0.026534738019108772,1.1328166723251343,0.0,0.0,1.1501609086990356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3885418176651,0.0,0.0,0.0,0.0
34,test,raw,34.jpg,42.811670831543324,0.0,1.7738572359085083,0.40193307399749756,0.0,0.4654545783996582,0.0,0.0,0.0,0.0,0.8616935610771179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,test,raw,37.jpg,49.122340369229605,0.0,0.9505929350852966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0036100149154663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1844588816165924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49675652384757996,0.0,0.0,0.0,0.0,0.0,0.0
43,test,raw,43(2).jpg,34.21127790093885,0.0,2.179941177368164,0.7486874461174011,0.0,0.7618907690048218,0.0,0.0,0.3868665099143982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3335031270980835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5998945236206055,0.0,0.0,0.0,0.0
43,test,raw,43.jpg,29.89809264936889,0.0,2.1303153038024902,1.269590973854065,0.0,0.6316392421722412,0.0,0.0,0.7620393633842468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20534084737300873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.590815782546997,0.0,0.0,0.0,0.0
68,test,raw,68(1).jpg,19.844708554905992,0.0,2.492570161819458,0.9911995530128479,0.0,1.918725848197937,0.0,0.0,1.325989007949829,0.0,0.0,0.0,0.0,0.0,1.4081717729568481,0.0,0.0,1.4741287231445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8294628858566284,0.0,0.0,0.0,0.0
68,test,raw,68.jpg,39.57773517071598,0.0,1.3645408153533936,0.346665620803833,0.0,0.532455563545227,0.0,0.0,0.0,0.0,0.43128570914268494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7129291296005249,0.0,0.0,0.0,0.0
69,test,raw,69(1).jpg,22.182303793107963,0.0,2.020796537399292,1.1471142768859863,0.0,1.7162002325057983,0.0,0.0,1.2243151664733887,0.0,0.0,0.0,0.0,0.20018267631530762,1.1408226490020752,0.0,0.0,1.3637961149215698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.881503701210022,0.0,0.0,0.0,0.0
69,test,raw,69.jpg,43.1178365508635,0.0,1.419152855873108,0.0,0.0,0.38236990571022034,0.0,0.0,0.0,0.0,0.4364282786846161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08826782554388046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
